title,price,title_length,numeric_price
"S Protection Reusable Cotton Face Mask With Velcro, Number Of Layers: 2",₹ 98/PieceGet Latest Price,71,98.0
Shashi Ear Loop Mount 3 Ply Face Mask ISO & SITRA Certified,₹ 1/PieceGet Latest Price,59,1.0
Future India Reusable 5 Layer N95 Face Mask,₹ 45/PieceGet Latest Price,43,45.0
Bellcross 3 Ply Face Mask With Melt Blown Fabric,₹ 2/PieceGet Latest Price,48,2.0
KN95 N95 Face Mask,₹ 4.50/PieceGet Latest Price,18,4.5
3 Layers N95 Face Mask,₹ 15/PieceGet Latest Price,22,15.0
Surgical Face Mask,₹ 1/PieceGet Latest Price,18,1.0
3 Ply Face Mask with CE Mark,₹ 1.08/PieceGet Latest Price,28,1.08
Kamal Healthcare Number of Layers: 3 Visor Mask,₹ 6/PieceGet Latest Price,47,6.0
3 Ply Meltblown Techtion Mask,₹ 1.25/PieceGet Latest Price,29,1.25
3M 9002 Particulate Respirator,₹ 18/PieceGet Latest Price,30,18.0
Protectmed Face Mask 3 Ply Disposable,₹ 0.70/PieceGet Latest Price,37,0.7
Number of Layers: 4 Layers 3M Non Woven Fabric Mist Respirator 8710,₹ 40/PieceGet Latest Price,67,40.0
"SAFARI Surgical Face Mask, Number of Layers: 3",₹ 1.20/PieceGet Latest Price,46,1.2
Wellvian 3 Ply Red Disposable Face Mask,₹ 2/PieceGet Latest Price,39,2.0
"Disposable KN-95 Face Mask With Filter, Certification: Yas, Number of Layers: 3",₹ 20/PieceGet Latest Price,79,20.0
CAMRON N95 Face Mask,₹ 8/PieceGet Latest Price,20,8.0
Medical Disposable Face Mask,₹ 0.70/PieceGet Latest Price,28,0.7
Number of Layers: 3 Disposable Face Mask,₹ 1/PieceGet Latest Price,40,1.0
"Disposable 3 Ply Meltblown Face Mask, Pack of 100",₹ 200/PackGet Latest Price,49,200.0
Venus Disposable N95 FFP2 Respirator Mask,₹ 50/PieceGet Latest Price,41,50.0
Kiyan 3 Ply Tie On Disposable Face Mask,₹ 0.85/pcsGet Latest Price,39,0.85
Face Mask .,₹ 0.85/PieceGet Latest Price,11,0.85
Disposable Covid Protection Mask,₹ 1/PieceGet Latest Price,32,1.0
"TML02TML-02-V FFP2 Respirator, Flat fold N95 mask",₹ 35/PieceGet Latest Price,49,35.0
"Yellow Non-Woven Venus V44++ Ffp1 Respirator Mask, Without Valve, Size: Large",₹ 6/PieceGet Latest Price,77,6.0
Non-Woven Aero Fresh Nose Mask,₹ 6/PieceGet Latest Price,30,6.0
V SURZ Dispoguard 3 Ply Face Mask,₹ 1.50/PieceGet Latest Price,33,1.5
